attribute_id,code,label,type,required,scope,options
992,s12_description_3,s12_description_3,textarea,0,store,
993,s12_description_4,s12_description_4,textarea,0,store,
994,s13_description_1,s13_description_1,textarea,0,store,
995,s13_description_2,s13_description_2,textarea,0,store,
996,s13_description_3,s13_description_3,textarea,0,store,
997,s13_description_4,s13_description_4,textarea,0,store,
998,s14_description_1,s14_description_1,textarea,0,store,
999,s14_description_2,s14_description_2,textarea,0,store,
1000,s14_description_3,s14_description_3,textarea,0,store,
1001,s14_description_4,s14_description_4,textarea,0,store,
1002,s15_description_1,s15_description_1,textarea,0,store,
1003,s15_description_2,s15_description_2,textarea,0,store,
1004,s15_description_3,s15_description_3,textarea,0,store,
1005,s15_description_4,s15_description_4,textarea,0,store,
1006,s1_fontcolor_1,s1_fontcolor_1,select,0,store,"dark, light, grey, main"
1007,s1_fontcolor_2,s1_fontcolor_2,select,0,store,"dark, light, grey, main"
1008,s1_fontcolor_3,s1_fontcolor_3,select,0,store,"dark, light, grey, main"
1009,s1_fontcolor_4,s1_fontcolor_4,select,0,store,"dark, light, grey, main"
1010,s2_fontcolor_1,s2_fontcolor_1,select,0,store,"dark, light, grey, main"
1011,s2_fontcolor_2,s2_fontcolor_2,select,0,store,"dark, light, grey, main"
1012,s2_fontcolor_3,s2_fontcolor_3,select,0,store,"dark, light, grey, main"
1013,s2_fontcolor_4,s2_fontcolor_4,select,0,store,"dark, light, grey, main"
1014,s3_fontcolor_1,s3_fontcolor_1,select,0,store,"dark, light, grey, main"
1015,s3_fontcolor_2,s3_fontcolor_2,select,0,store,"dark, light, grey, main"
1016,s3_fontcolor_3,s3_fontcolor_3,select,0,store,"dark, light, grey, main"
1017,s3_fontcolor_4,s3_fontcolor_4,select,0,store,"dark, light, grey, main"
1018,s4_fontcolor_1,s4_fontcolor_1,select,0,store,"dark, light, grey, main"
1019,s4_fontcolor_2,s4_fontcolor_2,select,0,store,"dark, light, grey, main"
1020,s4_fontcolor_3,s4_fontcolor_3,select,0,store,"dark, light, grey, main"
1021,s4_fontcolor_4,s4_fontcolor_4,select,0,store,"dark, light, grey, main"
1022,s5_fontcolor_1,s5_fontcolor_1,select,0,store,"dark, light, grey, main"
1023,s5_fontcolor_2,s5_fontcolor_2,select,0,store,"dark, light, grey, main"
1024,s5_fontcolor_3,s5_fontcolor_3,select,0,store,"dark, light, grey, main"
1025,s5_fontcolor_4,s5_fontcolor_4,select,0,store,"dark, light, grey, main"
1026,s6_fontcolor_1,s6_fontcolor_1,select,0,store,"dark, light, grey, main"
1027,s6_fontcolor_2,s6_fontcolor_2,select,0,store,"dark, light, grey, main"
1028,s6_fontcolor_3,s6_fontcolor_3,select,0,store,"dark, light, grey, main"
1029,s6_fontcolor_4,s6_fontcolor_4,select,0,store,"dark, light, grey, main"
1030,s7_fontcolor_1,s7_fontcolor_1,select,0,store,"dark, light, grey, main"
1031,s7_fontcolor_2,s7_fontcolor_2,select,0,store,"dark, light, grey, main"
1032,s7_fontcolor_3,s7_fontcolor_3,select,0,store,"dark, light, grey, main"
1033,s7_fontcolor_4,s7_fontcolor_4,select,0,store,"dark, light, grey, main"
1034,s8_fontcolor_1,s8_fontcolor_1,select,0,store,"dark, light, grey, main"
1035,s8_fontcolor_2,s8_fontcolor_2,select,0,store,"dark, light, grey, main"
1036,s8_fontcolor_3,s8_fontcolor_3,select,0,store,"dark, light, grey, main"
1037,s8_fontcolor_4,s8_fontcolor_4,select,0,store,"dark, light, grey, main"
1038,s9_fontcolor_1,s9_fontcolor_1,select,0,store,"dark, light, grey, main"
1039,s9_fontcolor_2,s9_fontcolor_2,select,0,store,"dark, light, grey, main"
1040,s9_fontcolor_3,s9_fontcolor_3,select,0,store,"dark, light, grey, main"
1041,s9_fontcolor_4,s9_fontcolor_4,select,0,store,"dark, light, grey, main"
1042,s10_fontcolor_1,s10_fontcolor_1,select,0,store,"dark, light, grey, main"
